room_name,building_floor,room_label,campus_code,capacity,min_capacity,room_property_code,room_property_name,home_department,using_department,note,in_use
424,1,101-N4,CS1,80,4,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
413,1,102-N4,CS1,70,4,LT,Lý thuyết,"Khoa Kinh tế, Du lịch và Truyền thông",,,1
437,1,103-N4,CS1,50,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
438,1,104-N4,CS1,50,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
439,1,105-N4,CS1,50,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
415,1,106-N4,CS1,100,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
420,1,107-N4,CS1,50,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
423,2,201-N4,CS1,50,3,LT,Lý thuyết,"Khoa Kinh tế, Du lịch và Truyền thông",,,1
135,2,202 (PHONG MAY),CS1,65,3,TH,Thực hành tin học,Công nghệ thông tin,Công nghệ thông tin,,1
422,2,202-N4,CS1,50,3,LT,Lý thuyết,"Khoa Kinh tế, Du lịch và Truyền thông",,,1
251,2,203-N1 (PHONG MAY),CS1,65,3,TH,Thực hành tin học,Cơ khí và Công nghệ,,,1
435,2,203-N1(PHONG MAY AO),CS1,65,3,TH,Thực hành tin học,Hội đồng quản trị,,Phòng ảo xếp TKB,1
433,2,203-N4,CS1,40,2,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
252,2,204-N1 (PHONG MAY),CS1,70,4,TH,Thực hành tin học,Cơ khí và Công nghệ,,,1
440,2,204-N4,CS1,40,2,LT,Lý thuyết,"Khoa Kinh tế, Du lịch và Truyền thông","Khoa Kinh tế, Du lịch và Truyền thông",,1
253,2,205-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
421,2,205-N4,CS1,50,3,LT,Lý thuyết,"Khoa Kinh tế, Du lịch và Truyền thông",,,1
254,2,206-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
418,2,206-N4,CS1,50,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
255,2,207-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
425,2,207-N4,CS1,90,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
256,2,208-N1,CS1,200,10,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
257,2,209-N1,CS1,160,8,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
258,2,210-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
259,2,211-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
260,2,212-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
146,3,301 (PHONG MAY),CS1,40,2,TH,Thực hành tin học,Cơ khí và Công nghệ,,301 (Phòng máy),1
