"id","unit_id","point_id","department_id","group_id","grade_id","course_id","name","year_from","year_to","course_unit","course_hour","ckey","clevel","gvcn_id","grp_leader_id","status","updated_by","created_at","updated_at"
"1","1001","1","15","6210402","TK6K13","TK603-K13","TK603-K13","2022","2025",NULL,NULL,"13","2","5354",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-06 13:15:58"
"2","1001","1","15","6210402","TK6K13","TK601-K13","TK601-K13","2022","2025",NULL,NULL,"13","2","166",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"3","1001","1","15","6210402","TK6K13","TK602-K13","TK602-K13","2022","2025",NULL,NULL,"13","2","166",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"4","1001","1","15","6210402","TK6K14","TK603-K14","TK603-K14","2023","2026",NULL,NULL,"14","2","5354",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-06 13:15:59"
"5","1001","1","15","6210402","TK6K14","TK601-K14","TK601-K14","2023","2026",NULL,NULL,"14","2","5354",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-06 13:15:56"
"6","1001","1","15","6210402","TK6K14","TK602-K14","TK602-K14","2023","2026",NULL,NULL,"14","2","161",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"7","1001","1","15","6480202","TT6K14","TT601-K14","TT601-K14","2023","2026",NULL,NULL,"14","2","159",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"8","1001","1","15","6480202","TT6K14","TT602-K14","TT602-K14","2023","2026",NULL,NULL,"14","2","159",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"9","1001","1","15","6480208","LT6K15","LT601-K15","LT601-K15","2024","2027",NULL,NULL,"15","2","5318",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-09 09:52:01"
"10","1001","1","15","6210402","TK6K15","TK601-K15","TK601-K15","2024","2027",NULL,NULL,"15","2","162",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"11","1001","1","15","6210402","TK6K15","TK602-K15","TK602-K15","2024","2027",NULL,NULL,"15","2","162",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"12","1001","1","15","6210402","TK6K15","TK603-K15","TK603-K15","2024","2027",NULL,NULL,"15","2","5354",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-06 13:16:01"
"13","1001","1","15","6480202","TT6K15","TT601-K15","TT601-K15","2024","2027",NULL,NULL,"15","2","161",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"14","1001","1","15","5480208","LT5K15","LT501-K15","LT501-K15","2024","2026",NULL,NULL,"15","1","5318",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-09 09:51:59"
"19","1001","1","15","5210402","TK5K14","TK501-K14","TK501-K14","2023","2025",NULL,NULL,"14","1","5354",NULL,"1",NULL,"2025-01-01 09:41:45","2025-08-06 13:15:54"
"20","1001","1","15","5210402","TK5K14","TK502-K14","TK502-K14","2023","2025",NULL,NULL,"14","1","161",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"21","1001","1","15","5480202","TT5K14","TT501-K14","TT501-K14","2023","2025",NULL,NULL,"14","1","159",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"22","1001","1","15","5480202","TT5K14","TT502-K14","TT502-K14","2023","2025",NULL,NULL,"14","1","159",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"23","1001","1","15","5480202","TT5K14","TT503-K14","TT503-K14","2023","2025",NULL,NULL,"14","1","159",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"24","1001","1","15","5480202","TT5K15","TT501-K15","TT501-K15","2024","2026",NULL,NULL,"15","1","161",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"25","1001","1","15","5210402","TK5K15","TK501-K15","TK501-K15","2024","2026",NULL,NULL,"15","1","162",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
"26","1001","1","15","5210402","TK5K15","TK502-K15","TK502-K15","2024","2026",NULL,NULL,"15","1","162",NULL,"1",NULL,"2025-01-01 09:41:45","2025-03-13 10:13:56"
