edu_course_id,name,year_to,clevel,class_size
4,TK603-K14,2026,2,21
5,TK601-K14,2026,2,27
6,TK602-K14,2026,2,13
7,TT601-K14,2026,2,29
8,TT602-K14,2026,2,18
9,LT601-K15,2027,2,22
10,TK601-K15,2027,2,23
11,TK602-K15,2027,2,16
12,TK603-K15,2027,2,8
13,TT601-K15,2027,2,18
155,TT601-K16,2028,2,37
156,TK601-K16,2028,2,25
174,TT602-K16LT,2028,2,5
175,TK602-K16LT,2028,2,3
14,LT501-K15,2027,1,11
25,TK501-K15,2027,1,17
162,TK501-K16,2028,1,26
26,TK502-K15,2027,1,19
24,TT501-K15,2027,1,25
161,TT501-K16,2028,1,22
176,TT502-K16,2028,1,26
